user_id,movie_id,rating
1,99861,4.0
626,44833,3.5
1,150540,3.5
1,68721,4.0
16,27205,5.0
20,765,2.0
1,207,3.5
3,68718,4.5
1,4512,4.0
1,1538,3.0
1,4982,4.0
1,9631,5.0
2,285,4.5
14,863,3.5
3,2667,4.0
1,711,3.0
2,9532,3.5
1,1495,3.5
1,9353,4.0
2,22970,3.0
6,165864,2.5
1,526,3.0
85,11529,3.0
48,13092,3.5
36,96,2.5
6,243,3.5
1,157336,4.0
1,228150,3.5
92,13990,4.5
1,38117,3.5
289,142,3.5
1,4958,4.0
6,342,3.5
2,11836,3.5
1,60308,2.5
6,9702,4.0
2,245700,4.0
62,660,4.0
4,169917,3.5
8,314365,3.0
156,810,3.5
1,26389,3.5
1,585,4.0
57,874,2.5
2,2310,3.0
325,310131,4.0
1,102362,2.0
55,9772,3.5
1,64689,3.5
1,268,4.0
449,44115,3.5
1,4547,3.5
4,26389,2.0
2,13,3.0
1,251,3.5
1,533,3.0
1,10185,4.0
9,9032,1.5
4,277,4.0
2,287948,4.0
252,8843,4.0
780,8359,3.0
1,55787,2.5
1,2666,3.0
4,22,2.5
76,52520,4.0
1,812,3.5
6,27205,4.0
14,616,4.0
6,1891,4.5
1,117263,3.0
5,98566,4.5
1,9992,4.5
4,91314,3.0
1,11468,2.5
1,18360,4.0
53,228066,2.5
1,198663,4.0
12,652,3.5
1,5038,4.0
6,14144,4.5
95,10054,4.0
7,2832,4.0
1,119450,4.0
2,257445,4.5
5,1927,2.5
1,767,3.0
1,77950,5.0
5,76649,3.5
109,286217,4.0
1,14177,2.5
2,8665,3.0
41,4234,3.0
8,1586,3.5
1,36586,3.0
36,10588,4.5
48,913,3.5
2,56292,3.0
12,860,4.0
2,287424,4.0
1,15074,3.0
39,11901,3.0
8,812,3.5
5,594,3.5
2,19995,3.5
2,293660,3.0
1,550,1.5
26,8914,4.0
4,62177,4.5
1,9476,4.5
6,280092,4.0
2,137094,3.0
1,19724,3.5
1,19908,3.0
1,188166,3.5
2,4824,3.5
1,74465,2.5
2,26710,4.0
769,19901,4.5
13,3638,3.5
15,5708,4.0
1,9952,4.0
1,25376,3.5
1,329,3.5
1,10198,3.0
49,301351,5.0
12,581,4.0
1,9759,2.5
198,260346,3.5
6,24428,4.0
82,796,3.5
4,103663,4.5
490,326,4.0
3,6415,3.5
1,251,3.5
11,1429,3.0
5,26710,4.5
1,133931,5.0
1,61791,3.0
18,241554,3.5
1,131631,2.5
1,118340,3.5
13,2001,2.0
1,82700,3.5
1,617,2.5
124,62177,3.0
1,11247,3.0
1,107846,4.0
41,280092,3.5
1,13475,4.0
2,8374,2.5
15,9659,4.5
26,48340,2.5
4,20766,4.0
18,9894,2.0
1,3594,3.5
23,49521,4.0
73,157353,3.0
6,604,3.5
1,214,2.5
2,118340,2.5
1,23742,3.5
1,8869,3.5
8,324668,4.0
3,5689,3.5
287,80274,3.5
73,557,2.5
2,262543,3.0
11,278,3.0
1,2832,3.0
2,943,2.5
1,76338,4.0
1,10071,5.0
264,77877,3.0
30,8078,3.5
78,673,4.5
1,68724,2.5
5,6171,4.5
1,68721,3.5
10,13156,4.0
8,272,2.0
2,2642,3.0
2,37834,3.5
1,38,4.0
37,608,2.5
84,49529,4.5
1,274854,3.5
1,13193,3.5
11,205596,4.0
1,8665,5.0
14,228161,4.5
2,10330,4.5
14,12160,3.5
40,840,2.0
34,62677,5.0
4,256961,3.0
2,62211,4.5
1,5915,2.5
1,1885,3.5
3,28178,4.5
1,928,5.0
4,40805,4.0
2,12589,3.5
2,120,4.0
1,613,2.0
1,227,4.5
2,9614,3.0
1,16871,4.0
2,8358,3.0
7,9027,5.0
1,273248,3.5
2,8141,2.5
394,122,2.5
5,181283,3.5
8,254128,4.5
3,9919,4.0
29,44147,2.0
14,8741,2.5
5,10634,5.0
17,68726,3.5
410,140300,4.0
1,44147,3.5
1,559,3.0
135,14324,4.5
1,9341,4.0
1,47327,2.5
1,62764,4.5
1,376659,4.0
8,4922,3.5
3,287948,3.5
15,119450,4.0
10,9631,4.5
1,303858,3.0
2,256924,4.0
1,107985,2.5
6,192141,4.0
1,50620,4.5
2,7350,5.0
1,274167,2.5
32,13537,3.0
35,11411,3.5
3,71552,4.5
778,4518,4.0
3,612,3.5
1,271110,2.0
736,585,5.0
1,131634,3.5
1,404,3.0
1,10137,3.5
1,28,2.0
30,1878,3.0
18,284296,3.5
2,2666,4.0
1,955,2.0
36,2501,4.0
5,299552,3.0
5,172385,5.0
1,19898,5.0
1,267860,4.0
1,172533,3.5
1,935,4.0
1,228203,4.5
3,1439,3.0
3,8699,3.0
5,109428,3.5
1,17711,3.5
3,293660,3.0
2,2320,4.5
44,13448,2.5
5,1895,4.5
1,105864,2.5
3,222936,3.5
1,1585,2.0
30,346081,3.0
1,224141,3.5
1,19204,4.5
33,76649,3.5
1,18487,3.5
10,9428,4.0
1,497,5.0
11,13184,2.0
3,13510,2.0
82,193756,4.0
37,423,1.5
1,9691,2.5
2,10623,4.5
2,8358,4.0
1,11917,5.0
2,4232,3.5
2,193893,2.5
1,76649,4.0
33,270946,3.5
6,10890,2.5
1,206647,5.0
1,9593,4.5
4,271110,4.5
7,70,3.0
3,12109,3.5
4,824,4.5
1,8272,3.5
3,817,4.5
7,9273,3.5
1,13967,3.5
251,25113,3.0
2,159824,1.5
183,9793,3.5
2,50014,3.5
1,87502,4.0
19,676,3.5
6,10734,3.0
18,1669,2.5
1,250546,4.5
1,585,3.0
1,3509,4.0
2,12193,5.0
1,100042,5.0
2,11186,4.0
1,87,4.0
2,62206,5.0
1,364,3.0
2,10673,3.0
1,1366,3.5
1,11778,4.0
580,9963,5.0
4,98,5.0
6,2011,4.5
1,1927,3.5
4,9425,4.0
6,120467,4.0
724,168259,4.5
45,256591,3.0
4,9268,4.0
1,11036,4.0
72,175541,5.0
1,22796,5.0
1,9570,3.0
2,1677,3.0
4,64685,4.5
11,15394,4.0
7,10481,3.5
4,2034,4.0
280,2539,3.5
22,198184,3.5
1,37165,4.0
1,159824,4.5
1,294254,4.5
2,215881,4.5
2,1268,4.5
2,1900,5.0
1,11544,3.0
1,169917,3.0
1,2059,4.5
43,8834,4.5
3,194662,2.5
1,294254,3.5
2,1907,2.0
32,49018,4.0
29,76640,4.0
4,211672,2.0
1,14160,2.5
3,582,4.0
4,1891,2.5
1,339408,4.0
52,10353,2.0
42,380,4.5
18,640,2.0
3,68718,4.0
1,207,3.5
2,267860,4.0
1,152532,3.5
1,196,4.0
4,8978,3.0
3,8587,4.5
1,627,5.0
1,3049,3.5
1,8293,1.5
2,2652,4.5
1,540,2.5
5,2253,3.0
2,123553,2.5
2,1637,2.5
66,60308,2.5
2,1788,3.5
1,264656,3.0
2,9490,3.5
1,787,3.0
9,691,3.5
2,12113,5.0
1,88042,2.5
78,9837,2.0
4,702,4.0
1,805,3.5
2,10189,3.5
1,158852,3.0
1,238,2.5
2,17711,3.5
15,47889,3.5
3,8367,2.0
4,84204,3.5
3,135397,3.0
9,640,4.5
16,82990,3.5
1,18533,4.0
6,14635,4.5
212,9489,5.0
1,27569,2.5
1,13805,3.0
2,210860,5.0
1,76757,4.5
1,241259,2.5
44,607,3.0
5,660,2.5
4,11969,4.0
17,14137,3.5
1,118340,3.0
3,1538,3.0
4,117263,3.5
8,18126,4.0
1,787,3.5
3,293660,5.0
3,5172,5.0
15,49519,4.0
1,802,3.5
8,13537,2.5
139,2048,3.5
28,84204,3.5
3,713,2.5
8,188207,2.5
240,100402,4.5
7,50544,3.5
2,9793,5.0
1,9257,4.0
13,91314,4.0
3,181533,4.0
35,36643,3.0
1,435,2.0
2,239563,2.5
1,328387,3.5
9,1954,5.0
13,12193,4.5
11,1903,4.0
3,55,4.0
1,2642,4.0
1,80271,4.5
5,9919,5.0
4,4723,3.5
4,9806,3.5
1,10996,2.5
3,6977,3.0
1,23759,4.5
1,65086,3.5
4,2057,3.0
2,293660,4.0
45,1830,2.0
3,8592,3.0
45,557,4.0
1,11359,3.5
1,10204,2.5
1,2123,5.0
1,22215,1.5
1,205587,4.0
1,2157,3.5
8,49444,3.5
2,270946,3.0
7,752,3.0
209,10527,3.5
13,79,3.0
1,2123,2.5
11,1954,4.0
94,11509,4.0
1,301351,3.5
9,262543,4.0
7,854,4.0
2,559,3.0
1,18405,5.0
2,23570,3.5
4,115,4.5
1,306,4.5
1,8273,4.0
2,525,4.5
4,1813,4.5
3,13435,2.5
2,1619,3.5
1,134371,2.0
5,18320,3.5
55,76025,4.5
1,118,2.5
8,819,3.0
6,188207,2.0
1,627,3.0
1,58,3.5
203,49524,3.0
4,9427,3.5
1,1865,3.5
1,10895,4.0
94,310,4.5
5,6963,3.5
2,181283,3.5
6,8457,3.0
1,55,4.0
25,260346,4.0
8,97367,3.5
1,14536,4.0
12,49049,1.0
5,1924,3.0
9,120,3.0
96,321258,4.5
1,15648,4.0
1,2786,4.5
2,198663,5.0
1,19724,3.5
196,9954,4.5
9,157544,4.5
1,613,3.5
1,66125,4.0
1,299687,4.0
1,11451,3.0
1,802,4.5
1,8960,4.0
1,98,4.5
9,32657,3.5
1,131631,5.0
454,5723,3.5
468,91314,3.5
14,74465,3.0
95,150540,2.0
1,674,3.5
113,12212,4.0
16,9473,4.0
41,217,5.0
11,28178,2.5
14,94348,5.0
9,157336,3.5
7,159014,3.5
66,9543,5.0
14,153518,3.5
2,12103,4.0
109,3034,3.5
3,56292,4.0
1,9870,3.5
704,5279,2.5
1,257,4.5
23,101299,3.5
1,10781,3.5
2,598,3.5
1,77883,4.0
3,328111,4.0
1,211672,4.5
3,12113,3.5
5,2501,4.5
5,10743,2.5
1,207,4.0
1,99861,4.0
1,8874,3.5
9,533,4.0
1,4970,2.5
12,87421,3.0
1,44833,3.5
359,102362,4.0
2,1895,4.0
2,1491,3.5
275,253412,3.5
4,69,4.0
1,38303,3.0
1,12437,4.5
1,14160,4.0
1,1402,4.0
1,44943,3.5
5,10191,4.0
3,11687,3.0
2,102899,3.5
30,11109,3.5
1,9273,3.5
2,177572,4.5
1,504,3.0
22,71688,3.5
1,49013,4.0
2,112949,4.0
2,39939,2.0
1,9502,4.0
1,351819,3.0
3,192134,4.0
2,291805,4.0
8,673,2.0
2,165,3.5
2,238636,2.5
7,773,2.0
1,4935,3.5
2,10426,2.5
1,198277,4.0
1,59440,4.0
2,13,3.5
1,4584,3.5
2,264999,3.5
1,14275,3.0
1,22,4.5
505,24021,4.0
77,62211,4.0
23,211672,2.5
1,264660,4.5
1,295964,2.0
11,184315,4.5
2,286217,3.5
1,692,3.5
38,11321,3.5
18,25941,3.0
1,9800,3.5
15,68724,4.0
6,294272,4.0
33,77,3.0
6,58574,4.5
17,2105,3.5
2,10140,4.5
3,22971,4.5
1,239563,2.5
6,16,3.0
1,293660,5.0
1,118340,4.0
2,1572,4.5
1,82702,3.5
27,979,3.0
10,8224,3.0
6,59440,3.5
1,107,4.5
1,96721,4.5
121,9806,3.5
4,181533,3.5
5,12123,3.5
1,9804,4.5
3,119450,3.0
1,12403,5.0
78,762,4.0
1,270946,2.5
2,157336,4.0
22,277685,4.0
1,388,3.5
27,48572,3.5
4,107,4.5
674,550,4.0
1,2310,3.0
1,4258,4.0
34,9678,3.0
1,11439,3.5
1,1271,2.5
2,50647,3.0
2,19912,2.5
1,2011,2.5
1,47964,4.0
1,9266,4.5
1,165,5.0
1,102651,2.5
4,135397,5.0
4,752,5.0
1,99861,4.5
1,54054,4.0
1,261023,4.5
7,37686,3.5
1,10050,4.5
6,41823,3.0
249,1574,3.5
33,55,3.0
6,76341,3.5
2,1788,3.5
5,2907,4.0
2,177572,3.5
2,680,4.5
8,26618,4.0
1,131631,3.5
5,172,4.0
1,1903,4.5
1,286565,3.5
20,37233,3.0
1,4982,3.5
1,56292,2.0
101,13132,3.5
256,36648,3.5
4,109445,4.0
9,250546,4.0
1,76203,3.5
1,325133,4.5
5,601,4.0
3,10439,4.5
1,321741,3.5
1,2048,3.5
2,75612,2.0
1,10637,4.5
2,226,3.0
721,136795,4.0
11,62206,4.0
1,177572,4.0
7,8656,4.0
16,271110,4.5
1,142061,4.5
1,211672,3.0
25,9045,3.0
1,10022,1.5
2,809,4.5
2,78383,4.0
50,75674,2.5
2,10225,2.5
67,15092,2.5
3,4566,2.5
1,138103,3.0
1,295964,3.0
152,98566,5.0
1,9428,3.5
3,172385,3.0
3,10501,1.0
163,57165,3.5
1,869,2.5
1,77950,2.5
1,2105,4.5
15,264660,3.5
12,12153,3.5
2,48340,4.5
1,27582,2.5
1,260346,5.0
2,77016,4.5
4,211672,3.0
345,855,3.0
4,429,3.5
1,120,3.5
1,11,3.5
10,1788,3.5
2,8367,3.5
3,29015,3.5
7,82990,2.5
1,293660,3.5
